Cluster,Size,Top_Words
5,968,"cattle, animals, infection, bovine, prevalence"
8,634,"probiotic, milk, probiotics, properties, fermented"
2,473,"dietary, intake, consumption, dairy products, women"
14,426,"calves, calf, fed, weight, colostrum"
0,368,"milk, lactation, mastitis, calving, herd"
4,310,"milk, fed, yield, supplementation, dairy cows"
9,307,"farmers, farms, veterinarians, farm, veterinary"
12,291,"infants, breastfeeding, allergy, milk, formula"
10,267,"milk, exposure, detection, contamination, milk samples"
11,238,"patients, sarcopenia, muscle, calf, circumference"
7,222,"isolates, genes, salmonella, coli, aureus"
19,218,"children, dietary, intake, adolescents, consumption"
3,214,"traits, genetic, cattle, genes, selection"
18,150,"cattle, monitoring, behavior, learning, livestock"
6,142,"soil, manure, organic, crop, climate"
1,117,"water, milk, coli, contamination, fecal"
15,97,"plantbased, meat, foods, diets, consumption"
13,85,"iodine, women, dietary, intake, pregnant"
17,42,"females, dolphins, whales, calves, species"
16,41,"mammary, cells, mastitis, expression, pathway"
